Date	MAS-1	MOS-60	WAS-1	WAS-43	LOS-25	L7F-1	MBL-1	MBL-11	MBL-34	MAL-57	MBS+13
30/08/1992	0.55078534	0.522172949	0.540350877	0.575438596	0.545454545	0.0882022	0.315352697	0.426348548	0.320539419	0.191881919	0.496618357
31/08/1992	0.551832461	0.55654102	0.530994152	0.576608187	0.566318927	0.089931837	0.339211618	0.387966805	0.320539419	0.19704797	0.490821256
1/09/1992	0.552879581	0.519955654	0.520467836	0.580116959	0.584202683	0.092516994	0.351659751	0.374481328	0.341286307	0.250922509	0.485990338
2/09/1992	0.552879581	0.557649667	0.495906433	0.589473684	0.58271237	0.09936115	0.349585062	0.398340249	0.362033195	0.295202952	0.484057971
3/09/1992	0.545549738	0.568736142	0.451461988	0.584795322	0.579731744	0.111319825	0.34439834	0.42219917	0.339211618	0.273062731	0.496618357
4/09/1992	0.538219895	0.578713969	0.430409357	0.576608187	0.575260805	0.115123167	0.339211618	0.351659751	0.356846473	0.254612546	0.50821256
5/09/1992	0.530890052	0.603104213	0.407017544	0.575438596	0.56780924	0.114286246	0.334024896	0.268672199	0.374481328	0.238376384	0.492753623
6/09/1992	0.523560209	0.585365854	0.408187135	0.576608187	0.557377049	0.109515795	0.328838174	0.237551867	0.320539419	0.21402214	0.461835749
7/09/1992	0.516230366	0.609756098	0.411695906	0.577777778	0.540983607	0.098477733	0.323651452	0.242738589	0.284232365	0.189667897	0.430917874
8/09/1992	0.508900524	0.598669623	0.414035088	0.577777778	0.514157973	0.11137562	0.310165975	0.291493776	0.320539419	0.177121771	0.401932367
9/09/1992	0.501570681	0.580931264	0.402339181	0.578947368	0.459016393	0.120684044	0.29253112	0.315352697	0.310165975	0.173431734	0.384541063
10/09/1992	0.491099476	0.607538803	0.374269006	0.58245614	0.399403875	0.127769977	0.276970954	0.339211618	0.299792531	0.169741697	0.35942029
11/09/1992	0.480628272	0.619733925	0.354385965	0.587134503	0.36661699	0.132531129	0.330912863	0.351659751	0.320539419	0.169741697	0.323671498
12/09/1992	0.493193717	0.630820399	0.34619883	0.568421053	0.429210134	0.138482569	0.397302905	0.349585062	0.341286307	0.184501845	0.316908213
13/09/1992	0.491099476	0.623059867	0.350877193	0.571929825	0.490312966	0.146135749	0.404564315	0.34439834	0.351659751	0.21402214	0.317874396
14/09/1992	0.489005236	0.618625277	0.357894737	0.577777778	0.51266766	0.149018477	0.412863071	0.339211618	0.367219917	0.243542435	0.317874396
15/09/1992	0.486910995	0.610864745	0.361403509	0.578947368	0.524590164	0.155816138	0.420124481	0.334024896	0.424273859	0.239852399	0.317874396
16/09/1992	0.455497382	0.585365854	0.347368421	0.566081871	0.515648286	0.178952361	0.403526971	0.328838174	0.419087137	0.217712177	0.31884058
17/09/1992	0.416753927	0.599778271	0.306432749	0.559064327	0.502235469	0.202683727	0.434647303	0.323651452	0.387966805	0.217712177	0.31884058
18/09/1992	0.404188482	0.61308204	0.302923977	0.542690058	0.491803279	0.214939974	0.491701245	0.310165975	0.419087137	0.21402214	0.319806763
19/09/1992	0.4	0.596452328	0.338011696	0.542690058	0.482861401	0.234626222	0.473029046	0.29253112	0.450207469	0.195571956	0.319806763
20/09/1992	0.410122513	0.583148559	0.323976608	0.54619883	0.475409836	0.241535472	0.424273859	0.276970954	0.465767635	0.173431734	0.320772947
21/09/1992	0.420243979	0.597560976	0.305263158	0.548538012	0.467958271	0.234263556	0.375518672	0.330912863	0.452282158	0.151291513	0.320772947
22/09/1992	0.430366492	0.580931264	0.278362573	0.547368421	0.463487332	0.224183304	0.377593361	0.397302905	0.426348548	0.177121771	0.32173913
23/09/1992	0.330890052	0.594235033	0.230409357	0.534502924	0.470938897	0.221235482	0.429460581	0.404564315	0.387966805	0.199261993	0.32173913
24/09/1992	0.332984293	0.597560976	0.21871345	0.519298246	0.479880775	0.239266485	0.450207469	0.412863071	0.374481328	0.184501845	0.322705314
25/09/1992	0.332984293	0.5654102	0.222222222	0.507602339	0.484351714	0.289026103	0.445020747	0.420124481	0.398340249	0.180811808	0.316908213
26/09/1992	0.329842932	0.590909091	0.219883041	0.502923977	0.476900149	0.321303365	0.43879668	0.403526971	0.42219917	0.178597786	0.298550725
27/09/1992	0.337172775	0.603104213	0.244444444	0.50877193	0.466467958	0.337641928	0.426348548	0.434647303	0.351659751	0.180811808	0.304347826
28/09/1992	0.344502618	0.597560976	0.271345029	0.514619883	0.445603577	0.340859425	0.412863071	0.491701245	0.268672199	0.18302583	0.313043478
29/09/1992	0.351832461	0.576496674	0.298245614	0.518128655	0.424739195	0.332713392	0.400414938	0.473029046	0.237551867	0.158671587	0.322705314
30/09/1992	0.348691099	0.536585366	0.32748538	0.515789474	0.411326379	0.298836679	0.387966805	0.424273859	0.242738589	0.151291513	0.322705314
1/10/1992	0.351832461	0.523281596	0.349707602	0.515789474	0.399403875	0.308740248	0.374481328	0.375518672	0.291493776	0.162361624	0.277294686
2/10/1992	0.273298429	0.557649667	0.325146199	0.506432749	0.390461997	0.318476431	0.362033195	0.377593361	0.315352697	0.15498155	0.266666667
3/10/1992	0.212565445	0.525498891	0.311111111	0.495906433	0.396423249	0.324511563	0.349585062	0.429460581	0.339211618	0.173431734	0.262801932
4/10/1992	0.235863874	0.464523282	0.312280702	0.492397661	0.399403875	0.329291314	0.336099585	0.450207469	0.351659751	0.210332103	0.245410628
5/10/1992	0.259162304	0.533259424	0.315789474	0.49005848	0.384500745	0.333094656	0.323651452	0.445020747	0.349585062	0.247232472	0.226086957
6/10/1992	0.282460733	0.567627494	0.319298246	0.487719298	0.36661699	0.328770563	0.31120332	0.43879668	0.34439834	0.228782288	0.206763285
7/10/1992	0.305759162	0.566518847	0.314619883	0.49005848	0.350223547	0.32795224	0.297717842	0.426348548	0.339211618	0.191881919	0.193236715
8/10/1992	0.312041885	0.566518847	0.287719298	0.512280702	0.333830104	0.326585268	0.28526971	0.412863071	0.334024896	0.265682657	0.190338164
9/10/1992	0.289005236	0.546563193	0.277192982	0.535672515	0.318926975	0.327543078	0.470954357	0.400414938	0.328838174	0.328413284	0.192270531
10/10/1992	0.294240838	0.56097561	0.260818713	0.547368421	0.309985097	0.331643992	0.628630705	0.387966805	0.323651452	0.317343173	0.2
11/10/1992	0.29668377	0.592017738	0.240935673	0.540350877	0.301043219	0.332583204	0.559128631	0.374481328	0.310165975	0.317343173	0.206763285
12/10/1992	0.299127749	0.564301552	0.221052632	0.530994152	0.292101341	0.335354343	0.489626556	0.362033195	0.29253112	0.317343173	0.214492754
13/10/1992	0.301570681	0.521064302	0.205847953	0.520467836	0.283159463	0.33868343	0.429460581	0.349585062	0.276970954	0.317343173	0.220289855
14/10/1992	0.273298429	0.564301552	0.208187135	0.495906433	0.27123696	0.341259288	0.398340249	0.336099585	0.330912863	0.315867159	0.225120773
15/10/1992	0.265968586	0.542128603	0.212865497	0.451461988	0.259314456	0.345713568	0.419087137	0.323651452	0.397302905	0.312177122	0.229951691
16/10/1992	0.269109948	0.523281596	0.212865497	0.430409357	0.247391952	0.356993407	0.424273859	0.31120332	0.404564315	0.3099631	0.234782609
