t	x(t-1)	x(t-2)	x(t-3)	x(t-4)	x(t-5)	x(t-6)	x(t-7)	x(t-8)	x(t-9)	x(t-10)	x(t-11)	x(t-12)	x(t-13)	x(t-14)	x(t-15)	xt
1	0.353629	-1.50982	-0.700647	2.61113	0.148606	3.12587	-0.383778	-3.36386	-0.376677	-1.06157	0.264676	0.815793	-2.86252	-0.303052	-0.74321	-0.444258
2	-0.444258	0.353629	-1.50982	-0.700647	2.61113	0.148606	3.12587	-0.383778	-3.36386	-0.376677	-1.06157	0.264676	0.815793	-2.86252	-0.303052	3.09667
3	3.09667	-0.444258	0.353629	-1.50982	-0.700647	2.61113	0.148606	3.12587	-0.383778	-3.36386	-0.376677	-1.06157	0.264676	0.815793	-2.86252	1.76427
4	1.76427	3.09667	-0.444258	0.353629	-1.50982	-0.700647	2.61113	0.148606	3.12587	-0.383778	-3.36386	-0.376677	-1.06157	0.264676	0.815793	-0.4249
5	-0.4249	1.76427	3.09667	-0.444258	0.353629	-1.50982	-0.700647	2.61113	0.148606	3.12587	-0.383778	-3.36386	-0.376677	-1.06157	0.264676	0.791837
6	0.791837	-0.4249	1.76427	3.09667	-0.444258	0.353629	-1.50982	-0.700647	2.61113	0.148606	3.12587	-0.383778	-3.36386	-0.376677	-1.06157	-3.14989
7	-3.14989	0.791837	-0.4249	1.76427	3.09667	-0.444258	0.353629	-1.50982	-0.700647	2.61113	0.148606	3.12587	-0.383778	-3.36386	-0.376677	-1.94298
8	-1.94298	-3.14989	0.791837	-0.4249	1.76427	3.09667	-0.444258	0.353629	-1.50982	-0.700647	2.61113	0.148606	3.12587	-0.383778	-3.36386	1.02356
9	1.02356	-1.94298	-3.14989	0.791837	-0.4249	1.76427	3.09667	-0.444258	0.353629	-1.50982	-0.700647	2.61113	0.148606	3.12587	-0.383778	-0.391231
10	-0.391231	1.02356	-1.94298	-3.14989	0.791837	-0.4249	1.76427	3.09667	-0.444258	0.353629	-1.50982	-0.700647	2.61113	0.148606	3.12587	2.91582
11	2.91582	-0.391231	1.02356	-1.94298	-3.14989	0.791837	-0.4249	1.76427	3.09667	-0.444258	0.353629	-1.50982	-0.700647	2.61113	0.148606	1.50072
12	1.50072	2.91582	-0.391231	1.02356	-1.94298	-3.14989	0.791837	-0.4249	1.76427	3.09667	-0.444258	0.353629	-1.50982	-0.700647	2.61113	-0.276574
13	-0.276574	1.50072	2.91582	-0.391231	1.02356	-1.94298	-3.14989	0.791837	-0.4249	1.76427	3.09667	-0.444258	0.353629	-1.50982	-0.700647	1.34306
14	1.34306	-0.276574	1.50072	2.91582	-0.391231	1.02356	-1.94298	-3.14989	0.791837	-0.4249	1.76427	3.09667	-0.444258	0.353629	-1.50982	-2.73718
15	-2.73718	1.34306	-0.276574	1.50072	2.91582	-0.391231	1.02356	-1.94298	-3.14989	0.791837	-0.4249	1.76427	3.09667	-0.444258	0.353629	0.956967
16	0.956967	-2.73718	1.34306	-0.276574	1.50072	2.91582	-0.391231	1.02356	-1.94298	-3.14989	0.791837	-0.4249	1.76427	3.09667	-0.444258	2.611
17	2.611	0.956967	-2.73718	1.34306	-0.276574	1.50072	2.91582	-0.391231	1.02356	-1.94298	-3.14989	0.791837	-0.4249	1.76427	3.09667	-1.36097
18	-1.36097	2.611	0.956967	-2.73718	1.34306	-0.276574	1.50072	2.91582	-0.391231	1.02356	-1.94298	-3.14989	0.791837	-0.4249	1.76427	2.96762
19	2.96762	-1.36097	2.611	0.956967	-2.73718	1.34306	-0.276574	1.50072	2.91582	-0.391231	1.02356	-1.94298	-3.14989	0.791837	-0.4249	1.35621
20	1.35621	2.96762	-1.36097	2.611	0.956967	-2.73718	1.34306	-0.276574	1.50072	2.91582	-0.391231	1.02356	-1.94298	-3.14989	0.791837	-1.93417
21	-1.93417	1.35621	2.96762	-1.36097	2.611	0.956967	-2.73718	1.34306	-0.276574	1.50072	2.91582	-0.391231	1.02356	-1.94298	-3.14989	0.526831
22	0.526831	-1.93417	1.35621	2.96762	-1.36097	2.611	0.956967	-2.73718	1.34306	-0.276574	1.50072	2.91582	-0.391231	1.02356	-1.94298	-2.90339
23	-2.90339	0.526831	-1.93417	1.35621	2.96762	-1.36097	2.611	0.956967	-2.73718	1.34306	-0.276574	1.50072	2.91582	-0.391231	1.02356	-1.71514
24	-1.71514	-2.90339	0.526831	-1.93417	1.35621	2.96762	-1.36097	2.611	0.956967	-2.73718	1.34306	-0.276574	1.50072	2.91582	-0.391231	1.70096
25	1.70096	-1.71514	-2.90339	0.526831	-1.93417	1.35621	2.96762	-1.36097	2.611	0.956967	-2.73718	1.34306	-0.276574	1.50072	2.91582	-0.3109
26	-0.3109	1.70096	-1.71514	-2.90339	0.526831	-1.93417	1.35621	2.96762	-1.36097	2.611	0.956967	-2.73718	1.34306	-0.276574	1.50072	3.33792
27	3.33792	-0.3109	1.70096	-1.71514	-2.90339	0.526831	-1.93417	1.35621	2.96762	-1.36097	2.611	0.956967	-2.73718	1.34306	-0.276574	0.96772
28	0.96772	3.33792	-0.3109	1.70096	-1.71514	-2.90339	0.526831	-1.93417	1.35621	2.96762	-1.36097	2.611	0.956967	-2.73718	1.34306	0.938369
29	0.938369	0.96772	3.33792	-0.3109	1.70096	-1.71514	-2.90339	0.526831	-1.93417	1.35621	2.96762	-1.36097	2.611	0.956967	-2.73718	0.331488
30	0.331488	0.938369	0.96772	3.33792	-0.3109	1.70096	-1.71514	-2.90339	0.526831	-1.93417	1.35621	2.96762	-1.36097	2.611	0.956967	-2.19403
31	-2.19403	0.331488	0.938369	0.96772	3.33792	-0.3109	1.70096	-1.71514	-2.90339	0.526831	-1.93417	1.35621	2.96762	-1.36097	2.611	-1.61573
32	-1.61573	-2.19403	0.331488	0.938369	0.96772	3.33792	-0.3109	1.70096	-1.71514	-2.90339	0.526831	-1.93417	1.35621	2.96762	-1.36097	-0.824866
33	-0.824866	-1.61573	-2.19403	0.331488	0.938369	0.96772	3.33792	-0.3109	1.70096	-1.71514	-2.90339	0.526831	-1.93417	1.35621	2.96762	-1.76098
34	-1.76098	-0.824866	-1.61573	-2.19403	0.331488	0.938369	0.96772	3.33792	-0.3109	1.70096	-1.71514	-2.90339	0.526831	-1.93417	1.35621	2.23079
35	2.23079	-1.76098	-0.824866	-1.61573	-2.19403	0.331488	0.938369	0.96772	3.33792	-0.3109	1.70096	-1.71514	-2.90339	0.526831	-1.93417	-0.485127
36	-0.485127	2.23079	-1.76098	-0.824866	-1.61573	-2.19403	0.331488	0.938369	0.96772	3.33792	-0.3109	1.70096	-1.71514	-2.90339	0.526831	-1.09871
37	-1.09871	-0.485127	2.23079	-1.76098	-0.824866	-1.61573	-2.19403	0.331488	0.938369	0.96772	3.33792	-0.3109	1.70096	-1.71514	-2.90339	0.235462
