t	x(t-1)	x(t-2)	x(t-3)	x(t-4)	x(t-5)	x(t-6)	x(t-7)	x(t-8)	x(t-9)	x(t-10)	x(t-11)	x(t-12)	x(t-13)	x(t-14)	x(t-15)	xt
1	-0.957373	-0.159749	0.20989	0.185229	-0.49028	-1.85928	-0.697536	0.699309	1.38637	-0.187901	0.280863	-0.222	0.203907	-0.0357082	-0.596329	0.219675
2	0.219675	-0.957373	-0.159749	0.20989	0.185229	-0.49028	-1.85928	-0.697536	0.699309	1.38637	-0.187901	0.280863	-0.222	0.203907	-0.0357082	0.22521
3	0.22521	0.219675	-0.957373	-0.159749	0.20989	0.185229	-0.49028	-1.85928	-0.697536	0.699309	1.38637	-0.187901	0.280863	-0.222	0.203907	0.498407
4	0.498407	0.22521	0.219675	-0.957373	-0.159749	0.20989	0.185229	-0.49028	-1.85928	-0.697536	0.699309	1.38637	-0.187901	0.280863	-0.222	-0.311964
5	-0.311964	0.498407	0.22521	0.219675	-0.957373	-0.159749	0.20989	0.185229	-0.49028	-1.85928	-0.697536	0.699309	1.38637	-0.187901	0.280863	1.59391
6	1.59391	-0.311964	0.498407	0.22521	0.219675	-0.957373	-0.159749	0.20989	0.185229	-0.49028	-1.85928	-0.697536	0.699309	1.38637	-0.187901	0.123925
7	0.123925	1.59391	-0.311964	0.498407	0.22521	0.219675	-0.957373	-0.159749	0.20989	0.185229	-0.49028	-1.85928	-0.697536	0.699309	1.38637	0.0268348
8	0.0268348	0.123925	1.59391	-0.311964	0.498407	0.22521	0.219675	-0.957373	-0.159749	0.20989	0.185229	-0.49028	-1.85928	-0.697536	0.699309	0.239517
9	0.239517	0.0268348	0.123925	1.59391	-0.311964	0.498407	0.22521	0.219675	-0.957373	-0.159749	0.20989	0.185229	-0.49028	-1.85928	-0.697536	0.00134332
10	0.00134332	0.239517	0.0268348	0.123925	1.59391	-0.311964	0.498407	0.22521	0.219675	-0.957373	-0.159749	0.20989	0.185229	-0.49028	-1.85928	0.0871811
11	0.0871811	0.00134332	0.239517	0.0268348	0.123925	1.59391	-0.311964	0.498407	0.22521	0.219675	-0.957373	-0.159749	0.20989	0.185229	-0.49028	0.323997
